AnalysisRecord,PassageAnalyzed,QuotedString,Analysis,ReusedText
urn:cite:hmt:reuse.17_64,urn:cts:greekLit:tlg5026.msA.hmt:17.59,"ἕλκεται",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.136
urn:cite:hmt:reuse.17_65,urn:cts:greekLit:tlg5026.msA.hmt:17.59,"έλκει",urn:cite:hmt:reusetype.quote3,
urn:cite:hmt:reuse.17_66,urn:cts:greekLit:tlg5026.msA.hmt:17.62,"μεθ ὅμιλον",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.149
urn:cite:hmt:reuse.17_67,urn:cts:greekLit:tlg5026.msA.hmt:17.62,"μεθ' ομίλου",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.149
urn:cite:hmt:reuse.17_68,urn:cts:greekLit:tlg5026.msA.hmt:17.62,"ἔξω ὁμίλου",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.149
urn:cite:hmt:reuse.17_69,urn:cts:greekLit:tlg5026.msA.hmt:17.65,"ἀνδρῶν",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.154-17.155
urn:cite:hmt:reuse.17_70,urn:cts:greekLit:tlg5026.msA.hmt:17.65,"ΐμεν",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.154-17.155
urn:cite:hmt:reuse.17_71,urn:cts:greekLit:tlg5026.msA.hmt:17.65,"διόπερ εἴ τίς μοι πεισθείη τῶν Λυκίων οἵκαδὲ πορευσόμεθα",urn:cite:hmt:reusetype.quote3,urn:cts:greekLit:tlg0012.tlg001.msA:17.154-17.155
urn:cite:hmt:reuse.17_72,urn:cts:greekLit:tlg5026.msA.hmt:17.65,"ΐμεν",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.154-17.155
urn:cite:hmt:reuse.17_73,urn:cts:greekLit:tlg5026.msA.hmt:17.65,"Τροιη δὲ",urn:cite:hmt:reusetype.,urn:cts:greekLit:tlg0012.tlg001.msA:17.154-17.155
urn:cite:hmt:reuse.17_74,urn:cts:greekLit:tlg5026.msA.hmt:17.65,"δι ὅπερ νῦν εἴ τις μοι πεισθείη τῶν Λυκίων οἴκαδὲ ὑποστρέφειν· ἀπόλοιτο ἂν ἡ Τροία",urn:cite:hmt:reusetype.quote3,urn:cts:greekLit:tlg0012.tlg001.msA:17.154-17.155
urn:cite:hmt:reuse.17_75,urn:cts:greekLit:tlg5026.msA.hmt:17.66,"πεφήσεται",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.155
urn:cite:hmt:reuse.17_76,urn:cts:greekLit:tlg5026.msA.hmt:17.66,"πεφήσεται ὄλεθρος",urn:cite:hmt:reusetype.,urn:cts:greekLit:tlg0012.tlg001.msA:17.155
urn:cite:hmt:reuse.17_77,urn:cts:greekLit:tlg5026.msA.hmt:17.68,"τοίου γὰρ θεράπων πέφατ' ἀνέρος",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.164
urn:cite:hmt:reuse.17_78,urn:cts:greekLit:tlg5026.msA.hmt:17.72,"νῦν δέ σε",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.173
urn:cite:hmt:reuse.17_79,urn:cts:greekLit:tlg5026.msA.hmt:17.74,"ὁτὲ δ' αὐτὸς",urn:cite:hmt:reusetype.quote1,urn:cts:greekLit:tlg0012.tlg001.msA:17.178
urn:cite:hmt:reuse.17_80,urn:cts:greekLit:tlg5026.msA.hmt:17.74,"τότε δ' αὐτὸς ἐποτρύνει",urn:cite:hmt:reusetype.multiform1,urn:cts:greekLit:tlg0012.tlg001.msA:17.178
urn:cite:hmt:reuse.17_81,urn:cts:greekLit:tlg5026.msA.hmt:17.74,"ἐστι",urn:cite:hmt:reusetype.quote3,
